Rock_number,EC_rock,Ph_rock,Corg_rock (%),Ca_rock,K_rock,Mg_rock,Na_rock,SAR_rock,SiO2_rock,Al2O3_rock,Fe2O3_rock,TiO2_rock,MnO_rock,CaO_rock,MgO_rock,Na2O_rock,K2O_rock,SO3_rock,P2O5_rock,Type_event,Event_quantity,Acid,Temp,Timestep,Volume_leachate,EC_leachate,Ph_leachate,Chloride_leachate,Carbonate_leachate,Sulfate_leachate,Nitrate_leachate,Phosphate_leachate,Ca_leachate,Fe_leachate,K_leachate,Mg_leachate,Mn_leachate,Na_leachate
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,1,120.0,714.0,6.7,2.5641,8.831,442.281,0.8657,0.0828,106.6,12.31,0.49,7.68,9.74,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,10,118.0,1313.0,6.54,10.9145,4.4515,741.6574,0.7168,0.3586,119.5,81.07,0.68,8.0,718.1,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,11,131.0,1208.0,6.74,2.4392,3.4084,593.0435,0.477,0.0735,249.0,60.54,0.7,8.96,929.7,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,12,131.0,1215.0,6.8,2.9407,3.7481,656.4315,0.7683,0.8399,127.6,58.77,0.63,6.85,606.6,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,13,129.0,1317.0,7.1,3.8978,4.1614,657.1826,0.6421,0.1142,141.6,44.95,0.56,7.56,710.9,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,14,130.0,1312.0,7.04,8.2308,4.5268,720.3582,2.6237,0.1121,310.2,96.27,1.58,8.99,807.3,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,15,129.0,1357.0,6.74,7.8406,8.4174,763.3104,1.4934,0.3269,125.1,69.69,0.44,5.92,600.4,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,2,130.0,1032.0,7.17,3.6441,3.9891,690.1746,1.028,0.1066,110.1,0.025,1.0,11.37,48.28,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,3,134.0,986.0,6.92,3.0092,5.0763,691.7663,0.2269,0.1128,100.7,2.585,0.91,12.38,92.54,0.005
1,1351.0,8.11,0.05,22.24,0.16,3.09,0.15,0.04,21.78,7.38,3.16,0.39,0.03,20.55,2.88,0.22,0.36,24.65,0.01,rain,140,0,-5,4,132.0,925.0,6.77,3.4626,3.7792,531.8079,1.9068,0.1253,157.5,17.37,0.83,9.79,144.9,0.005
